time,CONTAINER ID,NAME,CPU %,MEM USAGE / LIMIT,MEM %,NET I/O,BLOCK I/O,PIDS
0,279b3cf3c92b,acme-acme-1,0.12%,81.21MiB / 15.32GiB,0.52%,90.4MB / 95.5MB,0B / 238MB,32
5,279b3cf3c92b,acme-acme-1,0.32%,81.21MiB / 15.32GiB,0.52%,90.4MB / 95.5MB,0B / 238MB,32
10,279b3cf3c92b,acme-acme-1,0.33%,81.21MiB / 15.32GiB,0.52%,90.4MB / 95.5MB,0B / 238MB,32
15,279b3cf3c92b,acme-acme-1,0.11%,80.84MiB / 15.32GiB,0.52%,90.4MB / 95.5MB,0B / 238MB,23
20,279b3cf3c92b,acme-acme-1,1.36%,80.83MiB / 15.32GiB,0.52%,90.4MB / 95.5MB,0B / 238MB,23
25,279b3cf3c92b,acme-acme-1,1.63%,80.84MiB / 15.32GiB,0.52%,90.4MB / 95.5MB,0B / 238MB,23
30,279b3cf3c92b,acme-acme-1,1.65%,80.83MiB / 15.32GiB,0.52%,90.5MB / 95.5MB,0B / 238MB,23
35,279b3cf3c92b,acme-acme-1,1.35%,80.81MiB / 15.32GiB,0.52%,90.5MB / 95.5MB,0B / 238MB,23
40,279b3cf3c92b,acme-acme-1,0.12%,80.82MiB / 15.32GiB,0.52%,90.5MB / 95.5MB,0B / 238MB,23
45,279b3cf3c92b,acme-acme-1,0.33%,80.81MiB / 15.32GiB,0.52%,90.5MB / 95.5MB,0B / 238MB,23
50,279b3cf3c92b,acme-acme-1,1.58%,80.82MiB / 15.32GiB,0.52%,90.5MB / 95.5MB,0B / 238MB,23
55,279b3cf3c92b,acme-acme-1,0.12%,80.81MiB / 15.32GiB,0.52%,90.5MB / 95.5MB,0B / 238MB,23
60,279b3cf3c92b,acme-acme-1,15.80%,81.08MiB / 15.32GiB,0.52%,90.5MB / 95.5MB,0B / 238MB,24
65,279b3cf3c92b,acme-acme-1,0.32%,80.8MiB / 15.32GiB,0.52%,90.5MB / 95.5MB,0B / 238MB,23
70,279b3cf3c92b,acme-acme-1,3.80%,80.81MiB / 15.32GiB,0.52%,90.5MB / 95.5MB,0B / 238MB,23
75,279b3cf3c92b,acme-acme-1,3.86%,80.8MiB / 15.32GiB,0.52%,90.5MB / 95.5MB,0B / 238MB,23
